time,type,key,slot,player_slot,account_id,match_id,unit
-71,chatwheel,65,8.0,131.0,126340643.0,4233935341,
-71,chatwheel,7,5.0,128.0,,4233935341,
-67,chatwheel,7,5.0,128.0,,4233935341,
8,chatwheel,65,8.0,131.0,126340643.0,4233935341,
11,chatwheel,87002,7.0,130.0,177953305.0,4233935341,
28,chatwheel,87001,7.0,130.0,177953305.0,4233935341,
139,chatwheel,95,4.0,4.0,,4233935341,
140,chatwheel,95,4.0,4.0,,4233935341,
297,chatwheel,58,1.0,1.0,,4233935341,
348,chatwheel,71,8.0,131.0,126340643.0,4233935341,
349,chatwheel,71,8.0,131.0,126340643.0,4233935341,
396,chatwheel,5,2.0,2.0,429083611.0,4233935341,
426,chatwheel,7,1.0,1.0,,4233935341,
494,chat,lmao,4.0,4.0,,4233935341,YAMATO TAICHOU
530,chatwheel,65,8.0,131.0,126340643.0,4233935341,
536,chatwheel,71,1.0,1.0,,4233935341,
544,chatwheel,65,8.0,131.0,126340643.0,4233935341,
560,chatwheel,71,0.0,0.0,113593330.0,4233935341,
636,chatwheel,7,6.0,129.0,342149817.0,4233935341,
670,chatwheel,65,8.0,131.0,126340643.0,4233935341,
690,chatwheel,7,7.0,130.0,177953305.0,4233935341,
691,chatwheel,7,7.0,130.0,177953305.0,4233935341,
853,chatwheel,71,2.0,2.0,429083611.0,4233935341,
1162,chatwheel,2,8.0,131.0,126340643.0,4233935341,
1163,chatwheel,2,7.0,130.0,177953305.0,4233935341,
1163,chatwheel,71,8.0,131.0,126340643.0,4233935341,
1250,chatwheel,65,8.0,131.0,126340643.0,4233935341,
1375,chatwheel,2,8.0,131.0,126340643.0,4233935341,
1402,chatwheel,2,8.0,131.0,126340643.0,4233935341,
1502,chatwheel,58,1.0,1.0,,4233935341,
1551,chatwheel,71,1.0,1.0,,4233935341,
1588,chatwheel,71,1.0,1.0,,4233935341,
1661,chat,XD,4.0,4.0,,4233935341,YAMATO TAICHOU
1679,chat,yadomi caca,4.0,4.0,,4233935341,YAMATO TAICHOU
1791,chat,ez game,4.0,4.0,,4233935341,YAMATO TAICHOU
-86,chat,tangina taas na mmr mo,9.0,132.0,91443418.0,3251985527,nb
-86,chat,ember is buyer straigh],6.0,129.0,112531417.0,3251985527,seems good
539,chat,HI LINA,3.0,3.0,107088064.0,3251985527,X|ChiN|d0tAKinG
540,chat,FARMING?,3.0,3.0,107088064.0,3251985527,X|ChiN|d0tAKinG
540,chat,8K SHI MA,3.0,3.0,107088064.0,3251985527,X|ChiN|d0tAKinG
900,chat,9 reports on lina,4.0,4.0,102099826.0,3251985527,good shit
901,chat,thx,4.0,4.0,102099826.0,3251985527,good shit
-180,chatwheel,62,6.0,129.0,108329926.0,5756399276,
-70,chatwheel,7,5.0,128.0,104334048.0,5756399276,
-57,chatwheel,9004,8.0,131.0,163168569.0,5756399276,
-47,chatwheel,61,6.0,129.0,108329926.0,5756399276,
-42,chat,u need pause?,5.0,128.0,104334048.0,5756399276,K
-33,chatwheel,54,2.0,2.0,,5756399276,
-31,chatwheel,71,1.0,1.0,101399998.0,5756399276,
-31,chatwheel,129001,4.0,4.0,199666759.0,5756399276,
-8,chatwheel,316,5.0,128.0,104334048.0,5756399276,
33,chatwheel,71,5.0,128.0,104334048.0,5756399276,
98,chatwheel,129001,4.0,4.0,199666759.0,5756399276,
99,chatwheel,129002,4.0,4.0,199666759.0,5756399276,
134,chatwheel,129005,4.0,4.0,199666759.0,5756399276,
155,chatwheel,129004,4.0,4.0,199666759.0,5756399276,
195,chatwheel,7,5.0,128.0,104334048.0,5756399276,
201,chatwheel,129001,4.0,4.0,199666759.0,5756399276,
229,chatwheel,71,9.0,132.0,212713081.0,5756399276,
358,chatwheel,71,1.0,1.0,101399998.0,5756399276,
359,chatwheel,71,1.0,1.0,101399998.0,5756399276,
364,chatwheel,80,4.0,4.0,199666759.0,5756399276,
364,chat,how tf this is,6.0,129.0,108329926.0,5756399276,Acid at 7/11
365,chatwheel,2,4.0,4.0,199666759.0,5756399276,
368,chat,75 crit,6.0,129.0,108329926.0,5756399276,Acid at 7/11
368,chat,???,6.0,129.0,108329926.0,5756399276,Acid at 7/11
371,chat,havent once,6.0,129.0,108329926.0,5756399276,Acid at 7/11
386,chatwheel,80,4.0,4.0,199666759.0,5756399276,
425,chatwheel,80,4.0,4.0,199666759.0,5756399276,
431,chatwheel,7,5.0,128.0,104334048.0,5756399276,
444,chatwheel,9004,8.0,131.0,163168569.0,5756399276,
464,chatwheel,71,8.0,131.0,163168569.0,5756399276,
464,chatwheel,71,8.0,131.0,163168569.0,5756399276,
564,chatwheel,12,6.0,129.0,108329926.0,5756399276,
564,chatwheel,12,6.0,129.0,108329926.0,5756399276,
567,chatwheel,71,1.0,1.0,101399998.0,5756399276,
567,chatwheel,71,1.0,1.0,101399998.0,5756399276,
574,chatwheel,80,4.0,4.0,199666759.0,5756399276,
575,chatwheel,80,4.0,4.0,199666759.0,5756399276,
584,chatwheel,316,5.0,128.0,104334048.0,5756399276,
606,chatwheel,1,8.0,131.0,163168569.0,5756399276,
607,chatwheel,1,8.0,131.0,163168569.0,5756399276,
639,chatwheel,9002,8.0,131.0,163168569.0,5756399276,
640,chatwheel,69,9.0,132.0,212713081.0,5756399276,
644,chatwheel,71,4.0,4.0,199666759.0,5756399276,
671,chatwheel,71,1.0,1.0,101399998.0,5756399276,
775,chatwheel,2,6.0,129.0,108329926.0,5756399276,
786,chatwheel,62,9.0,132.0,212713081.0,5756399276,
912,chatwheel,91,6.0,129.0,108329926.0,5756399276,
937,chatwheel,62,9.0,132.0,212713081.0,5756399276,
949,chatwheel,316,5.0,128.0,104334048.0,5756399276,
1022,chatwheel,12,6.0,129.0,108329926.0,5756399276,
1022,chatwheel,12,6.0,129.0,108329926.0,5756399276,
1120,chatwheel,91,6.0,129.0,108329926.0,5756399276,
1174,chatwheel,71,5.0,128.0,104334048.0,5756399276,
1175,chatwheel,71,5.0,128.0,104334048.0,5756399276,
1373,chatwheel,0,6.0,129.0,108329926.0,5756399276,
1561,chatwheel,78001,6.0,129.0,108329926.0,5756399276,
1562,chatwheel,61,1.0,1.0,101399998.0,5756399276,
1577,chatwheel,12,6.0,129.0,108329926.0,5756399276,
1616,chatwheel,12,1.0,1.0,101399998.0,5756399276,
1658,chatwheel,12,1.0,1.0,101399998.0,5756399276,
1806,chatwheel,12,1.0,1.0,101399998.0,5756399276,
1843,chatwheel,317,1.0,1.0,101399998.0,5756399276,
1889,chatwheel,317,1.0,1.0,101399998.0,5756399276,
1916,chatwheel,1001,1.0,1.0,101399998.0,5756399276,
1917,chatwheel,1001,1.0,1.0,101399998.0,5756399276,
2011,chatwheel,317,1.0,1.0,101399998.0,5756399276,
2050,chat,1х9,1.0,1.0,101399998.0,5756399276,mister Zag@do4nik
2052,chat,ez game,1.0,1.0,101399998.0,5756399276,mister Zag@do4nik
2057,chat,),4.0,4.0,199666759.0,5756399276,Шизоид
2063,chat,graz on free am game,6.0,129.0,108329926.0,5756399276,Acid at 7/11
2102,chatwheel,129002,4.0,4.0,199666759.0,5756399276,
2103,chatwheel,129001,4.0,4.0,199666759.0,5756399276,
-82,chatwheel,466,6.0,129.0,,6934472893,
-80,chatwheel,583,8.0,131.0,134357466.0,6934472893,
-75,chatwheel,467,8.0,131.0,134357466.0,6934472893,
-49,chatwheel,2,6.0,129.0,,6934472893,
-48,chatwheel,2,6.0,129.0,,6934472893,
-17,chatwheel,19006,7.0,130.0,458287006.0,6934472893,
-17,chatwheel,19006,7.0,130.0,458287006.0,6934472893,
1,chatwheel,2,6.0,129.0,,6934472893,
27,chatwheel,71,2.0,2.0,274078636.0,6934472893,
27,chatwheel,71,2.0,2.0,274078636.0,6934472893,
79,chatwheel,7,4.0,4.0,343084576.0,6934472893,
79,chatwheel,7,4.0,4.0,343084576.0,6934472893,
225,chatwheel,2,6.0,129.0,,6934472893,
229,chatwheel,8,4.0,4.0,343084576.0,6934472893,
229,chatwheel,7,4.0,4.0,343084576.0,6934472893,
277,chatwheel,71,9.0,132.0,,6934472893,
286,chatwheel,19006,7.0,130.0,458287006.0,6934472893,
286,chatwheel,19006,7.0,130.0,458287006.0,6934472893,
359,chatwheel,71,5.0,128.0,186796890.0,6934472893,
385,chatwheel,71,9.0,132.0,,6934472893,
385,chatwheel,71,9.0,132.0,,6934472893,
463,chatwheel,7,4.0,4.0,343084576.0,6934472893,
471,chatwheel,1,6.0,129.0,,6934472893,
569,chatwheel,466,6.0,129.0,,6934472893,
595,chatwheel,71,1.0,1.0,377594124.0,6934472893,
632,chatwheel,71,9.0,132.0,,6934472893,
734,chatwheel,71,9.0,132.0,,6934472893,
774,chatwheel,7,8.0,131.0,134357466.0,6934472893,
837,chatwheel,9,4.0,4.0,343084576.0,6934472893,
844,chatwheel,71,0.0,0.0,400603826.0,6934472893,
849,chatwheel,71,0.0,0.0,400603826.0,6934472893,
916,chatwheel,0,9.0,132.0,,6934472893,
959,chatwheel,71,2.0,2.0,274078636.0,6934472893,
959,chatwheel,71,2.0,2.0,274078636.0,6934472893,
962,chatwheel,2,7.0,130.0,458287006.0,6934472893,
963,chatwheel,2,7.0,130.0,458287006.0,6934472893,
972,chatwheel,68,7.0,130.0,458287006.0,6934472893,
976,chatwheel,2,7.0,130.0,458287006.0,6934472893,
984,chatwheel,68,7.0,130.0,458287006.0,6934472893,
1091,chatwheel,2,7.0,130.0,458287006.0,6934472893,
1123,chatwheel,1,6.0,129.0,,6934472893,
1240,chatwheel,2,6.0,129.0,,6934472893,
1270,chatwheel,71,3.0,3.0,,6934472893,
1270,chatwheel,71,3.0,3.0,,6934472893,
1324,chatwheel,71,0.0,0.0,400603826.0,6934472893,
1332,chatwheel,53,4.0,4.0,343084576.0,6934472893,
1384,chatwheel,19002,7.0,130.0,458287006.0,6934472893,
1385,chatwheel,19002,7.0,130.0,458287006.0,6934472893,
1423,chatwheel,80,6.0,129.0,,6934472893,
1424,chatwheel,1,6.0,129.0,,6934472893,
1445,chatwheel,19002,7.0,130.0,458287006.0,6934472893,
1445,chatwheel,19002,7.0,130.0,458287006.0,6934472893,
